iter	RMSE
300	1.461079695
301	1.461064663
302	1.461046803
303	1.461037079
304	1.460979611
305	1.46096939
306	1.460906394
307	1.460891907
308	1.460849916
309	1.460804966
310	1.460780647
311	1.460767158
312	1.460731179
313	1.460676762
314	1.460642853
315	1.460586149
316	1.46055729
317	1.460518956
318	1.460506667
319	1.460454546
320	1.460439476
321	1.460427162
322	1.460372283
323	1.460341258
324	1.460313397
325	1.460264278
326	1.460253033
327	1.46023081
328	1.46022446
329	1.46018198
330	1.460156159
331	1.460114124
332	1.460103537
333	1.460092049
334	1.460077856
335	1.460069335
336	1.460030572
337	1.460006712
338	1.459957487
339	1.459942786
340	1.459921135
341	1.459914155
342	1.459902674
343	1.459854585
344	1.459820228
345	1.459781191
346	1.459724142
347	1.459697405
348	1.459689997
349	1.459657626
350	1.459627845
351	1.459601904
352	1.459570121
353	1.459528668
354	1.459522566
355	1.459514324
356	1.459487141
357	1.459477227
358	1.459469939
359	1.459423967
360	1.459416916
361	1.459379087
362	1.459345182
363	1.459335702
364	1.459283425
365	1.459271992
366	1.459234241
367	1.459228218
368	1.459204357
369	1.45919463
370	1.459168834
371	1.459141416
372	1.459135607
373	1.459097393
374	1.459086404
375	1.459072321
376	1.459021812
377	1.45901475
378	1.458988684
379	1.458959393
380	1.458933886
381	1.458925453
382	1.458902007
383	1.45884949
384	1.458809007
385	1.458773851
386	1.45875738
387	1.458720086
388	1.458689649
389	1.45864864
390	1.45860283
391	1.458566336
392	1.458507538
393	1.458497336
394	1.458478909
395	1.458471996
396	1.458434683
397	1.458428939
398	1.458394559
399	1.458359162
400	1.458353917
401	1.458326074
402	1.458315002
403	1.458289785
404	1.458274846
405	1.458254544
406	1.458222417
407	1.458215802
408	1.458210339
409	1.458205514
410	1.458186192
411	1.458174206
412	1.458148976
413	1.458123731
414	1.458118806
415	1.458096409
416	1.458090091
417	1.45803872
418	1.458025169
419	1.458016595
420	1.458013107
421	1.4579922
422	1.457964663
423	1.457940829
424	1.457910292
425	1.457869636
426	1.457865166
427	1.457843366
428	1.457838253
429	1.457819111
430	1.457813936
431	1.457784055
432	1.457781915
433	1.457768718
434	1.457757971
435	1.457748651
436	1.457720609
437	1.457705879
438	1.457675048
439	1.457625168
440	1.457610235
441	1.457574491
442	1.457552813
443	1.45752452
444	1.457493756
445	1.457480147
446	1.457463478
447	1.457421852
448	1.457377005
449	1.457368078
450	1.457339882
451	1.457295403
452	1.457292273
453	1.457289299
454	1.45725416
455	1.457232321
456	1.457190727
457	1.45717739
458	1.457159767
459	1.457156053
460	1.45715092
461	1.457109198
462	1.457084202
463	1.457079807
464	1.457042643
465	1.4570333
466	1.457015259
467	1.456987825
468	1.456949432
469	1.456945605
470	1.456942025
471	1.456905451
472	1.456881165
473	1.456846551
474	1.45682333
475	1.45681988
476	1.456796449
477	1.456793099
478	1.456761917
479	1.456727114
480	1.456697095
481	1.456682719
482	1.456653705
483	1.456635706
484	1.456628189
485	1.456624693
486	1.456599701
487	1.456586209
488	1.456579923
489	1.456561931
490	1.45655593
491	1.456543698
492	1.456532733
493	1.456528519
494	1.456494425
495	1.456479651
496	1.456461925
497	1.456447328
498	1.456433894
499	1.456417609
500	1.456391266
501	1.456389793
502	1.456360655
503	1.45632466
504	1.456301797
505	1.456287034
506	1.456279639
507	1.456256643
508	1.456250038
509	1.456236245
510	1.456212878
511	1.456200326
512	1.456195748
513	1.456182964
514	1.456177466
515	1.456136211
516	1.45612271
517	1.456115662
518	1.456107638
519	1.456102141
520	1.456083681
521	1.456068255
522	1.456029992
523	1.456017155
524	1.456001961
525	1.45598743
526	1.455980586
527	1.455978325
528	1.455974526
529	1.4559482
530	1.455946788
531	1.455942903
532	1.455932741
533	1.455928028
534	1.455924327
535	1.455918473
536	1.455892809
537	1.455872414
538	1.455845919
539	1.455836035
540	1.455811409
541	1.455792081
542	1.455772834
543	1.455770548
544	1.455767469
545	1.455761479
546	1.455738021
547	1.455728792
548	1.455715755
549	1.455690182
550	1.455685506
551	1.455666457
552	1.455637312
553	1.455625462
554	1.455617709
555	1.45561468
556	1.455576891
557	1.455550596
558	1.45554341
559	1.455540177
560	1.455538691
561	1.455519418
562	1.455487315
563	1.455475412
564	1.455458742
565	1.455457056
566	1.455454476
567	1.455451681
568	1.455439029
569	1.45543019
570	1.455419726
571	1.455415103
572	1.455406387
573	1.455402704
574	1.455385384
575	1.455357556
576	1.455324871
577	1.455314354
578	1.455297504
579	1.455291457
580	1.455289704
581	1.455279226
582	1.45526459
583	1.455255561
584	1.455238727
585	1.455231271
586	1.455207124
587	1.45520377
588	1.45519708
589	1.455183246
590	1.455160193
591	1.455144853
592	1.455135939
593	1.455116033
594	1.455102881
595	1.455098267
596	1.455094212
597	1.455083178
598	1.455082205
599	1.455061944
600	1.455059355
601	1.455053284
602	1.455036684
603	1.455035323
604	1.455022907
605	1.455012853
606	1.45500808
607	1.454989571
608	1.454987475
609	1.454982271
610	1.454976857
611	1.454966644
612	1.454951601
613	1.454916935
614	1.454902223
615	1.454889153
616	1.454871832
617	1.454862954
618	1.454861832
619	1.454837819
620	1.454816483
621	1.454808486
622	1.4548025
623	1.454797337
624	1.454795795
625	1.454779361
626	1.454771697
627	1.454764293
628	1.45476011
629	1.454755018
630	1.454738946
631	1.454728665
632	1.454721153
633	1.454712765
634	1.454711603
635	1.454696909
636	1.454689275
637	1.454674133
638	1.454669425
639	1.454664574
640	1.454654473
641	1.454653332
642	1.454641798
643	1.454638404
644	1.454627827
645	1.454623464
646	1.454620664
647	1.454601634
648	1.45458522
649	1.454569659
650	1.454565152
651	1.454561237
652	1.454550815
653	1.454516248
654	1.454513739
655	1.454497188
656	1.454482038
657	1.454480664
658	1.454457283
659	1.454455186
660	1.454440951
661	1.45441156
662	1.454408852
663	1.454388454
664	1.454374084
665	1.454358085
666	1.454329459
667	1.45432827
668	1.454322602
669	1.454314393
670	1.45429091
671	1.454279796
672	1.454277359
673	1.454273803
674	1.454267063
675	1.454255828
676	1.454253681
677	1.454239992
678	1.45421696
679	1.45421456
680	1.454199084
681	1.454193158
682	1.454183745
683	1.454162854
684	1.454161852
685	1.454148436
686	1.454147247
687	1.45414227
688	1.454127294
689	1.454122007
690	1.454104604
691	1.454101487
692	1.454075813
693	1.454074005
694	1.45406311
695	1.454045814
696	1.454037181
697	1.454035742
698	1.454024124
699	1.454022942
700	1.45402188
701	1.45401749
702	1.45400503
703	1.45399761
704	1.453992768
705	1.453987594
706	1.453986843
707	1.453983314
708	1.453972095
709	1.453959469
710	1.453950596
711	1.453943735
712	1.453912809
713	1.453906611
714	1.453899581
715	1.453881676
716	1.453852586
717	1.453842559
718	1.453834124
719	1.453815799
720	1.453814894
721	1.453802653
722	1.453786446
723	1.453774852
724	1.453757951
725	1.453756162
726	1.453748537
727	1.45373092
728	1.45371875
729	1.453712562
730	1.453709019
731	1.453703987
732	1.453684583
733	1.453677401
734	1.453650992
735	1.453631024
736	1.453615347
737	1.453604924
738	1.453600594
739	1.453592925
740	1.453585805
741	1.453578723
742	1.453576771
743	1.453566421
744	1.453561135
745	1.453560375
746	1.453550889
747	1.453527031
748	1.453522338
749	1.453501189
750	1.453478744
751	1.453472645
752	1.453459568
753	1.453455962
754	1.453434691
755	1.453433771
756	1.453427223
757	1.453426448
758	1.453423965
759	1.453416393
760	1.45340572
761	1.453399834
762	1.45338295
763	1.453377601
764	1.453374971
765	1.453372521
766	1.453359912
767	1.453348352
768	1.45333628
769	1.453334583
770	1.453314213
771	1.453310107
772	1.453303749
773	1.453299608
774	1.453296347
775	1.453284996
776	1.453264912
777	1.453255918
778	1.453254446
779	1.453253316
780	1.453252861
781	1.453250311
782	1.453240812
783	1.453227389
784	1.453224873
785	1.453223847
786	1.453218783
787	1.45321427
788	1.453212895
789	1.45320889
790	1.453205322
791	1.45320437
792	1.453190197
793	1.45318837
794	1.453178722
795	1.453172055
796	1.453170799
797	1.453154094
798	1.453145682
799	1.453134691
800	1.453119922
801	1.453117872
802	1.453105071
803	1.453098615
804	1.453085836
805	1.453085616
806	1.453073461
807	1.453071259
808	1.453070403
809	1.45305185
810	1.453038519
811	1.453036478
812	1.453034911
813	1.453032779
814	1.453026937
815	1.453024719
816	1.453016691
817	1.453006616
818	1.453001763
819	1.452997481
820	1.452993627
821	1.452984784
822	1.452982113
823	1.452980929
824	1.452965676
825	1.452959398
826	1.452947695
827	1.452946501
828	1.452946078
829	1.452943546
830	1.452942692
831	1.45292501
832	1.45292096
833	1.452914756
834	1.452912406
835	1.452910862
836	1.452909274
837	1.452907545
838	1.452899205
839	1.452895737
840	1.452879492
841	1.452869596
842	1.452858829
843	1.452845628
844	1.45284425
845	1.452838756
846	1.452836585
847	1.452836045
848	1.45283377
849	1.45281777
850	1.452816458
851	1.452804864
852	1.452799816
853	1.452798579
854	1.452780942
855	1.4527794
856	1.452778474
857	1.452763832
858	1.452749667
859	1.452745094
860	1.45272763
861	1.452723502
862	1.452721709
863	1.452720025
864	1.452713594
865	1.45270377
866	1.452702107
867	1.452694399
868	1.452690562
869	1.452677306
870	1.452668348
871	1.452667589
872	1.45265956
873	1.452657807
874	1.452653422
875	1.452652487
876	1.452651652
877	1.452650322
878	1.452646485
879	1.4526422
880	1.452630965
881	1.452624591
882	1.452616947
883	1.452601616
884	1.452596454
885	1.452587206
886	1.45258491
887	1.452576234
888	1.45256591
889	1.452560025
890	1.452558785
891	1.452556883
892	1.452554774
893	1.452549178
894	1.452534788
895	1.45253449
896	1.452534177
897	1.452524785
898	1.452516001
899	1.452504369
900	1.452501727
901	1.452496082
902	1.45248603
903	1.452485181
904	1.452484216
905	1.452480064
906	1.452473448
907	1.452471173
908	1.45245763
909	1.452456998
910	1.452449812
911	1.452438763
912	1.452437411
913	1.45243069
914	1.452430299
915	1.452419426
916	1.452412486
917	1.452407554
918	1.452401236
919	1.452400719
920	1.452395667
921	1.452392487
922	1.452391894
923	1.452387586
924	1.45238083
925	1.452369815
926	1.452369282
927	1.452360955
928	1.452354841
929	1.452350143
930	1.452347152
931	1.452346705
932	1.452344643
933	1.452336713
934	1.452327616
935	1.452327329
936	1.452327188
937	1.452319498
938	1.452307927
939	1.452301749
940	1.452301455
941	1.452296622
942	1.45229642
943	1.452288438
944	1.452286572
945	1.452286007
946	1.452282371
947	1.452278554
948	1.452278145
949	1.452273278
950	1.45226112
951	1.452252557
952	1.452247445
953	1.452242166
954	1.452240555
955	1.452235869
956	1.452235344
957	1.452228971
958	1.452221796
959	1.452220665
960	1.452219235
961	1.452218217
962	1.452217124
963	1.452212898
964	1.452202757
965	1.452201317
966	1.452192813
967	1.45218484
968	1.452172581
969	1.452170939
970	1.452170719
971	1.452164268
972	1.452153396
973	1.452152153
974	1.4521515
975	1.452144309
976	1.452136938
977	1.452129386
978	1.4521253
979	1.452123967
980	1.452120267
981	1.452119534
982	1.452110046
983	1.452101762
984	1.452089795
985	1.452078496
986	1.452074048
987	1.452072029
988	1.452071104
989	1.452063061
990	1.452058006
991	1.45205391
992	1.452051893
993	1.452045827
994	1.452043657
995	1.452043528
996	1.452037601
997	1.452030336
998	1.452021803
999	1.452018537
